HIP,Radeg,Dedeg,Hpmag
11432,36.86578361,31.80134871,5.713
11465,36.96562109,50.57019419,6.2532
11477,37.00704186,-33.81105276,5.1641
11479,37.01808028,-64.2997833,6.3555
11484,37.03965837,8.46008868,4.2725
11486,37.04162629,29.66953827,5.3697
11524,37.14773189,-31.10240166,6.2802
11548,37.20224438,29.93158392,6.0211
11569,37.26661748,67.40238406,4.5135
11578,37.30678103,23.46907784,6.2404
11603,37.39732692,9.56562427,6.2443
11651,37.56899451,33.8338426,6.4299
11670,37.63464228,25.23521401,5.9694
11671,37.63662643,-22.54524197,6.2541
11678,37.65986609,19.85538801,6.2057
11687,37.68847232,0.25587585,6.0588
11698,37.72657579,17.70405703,6.376
11738,37.87534296,2.26720641,5.4248
11757,37.91716948,-79.10924936,5.4354
11767,37.946143,89.26413778,2.1077
11783,38.0219889,-15.24431882,4.8432
11784,38.02556615,36.14723145,5.2802
11791,38.03931841,-1.03481748,5.5288
11802,38.06133473,-36.42733818,6.4459
11840,38.21940874,34.54245655,6.0047
11843,38.22562442,15.03446482,6.1229
11867,38.27932877,-34.64992342,6.0755
11907,38.4176894,-20.00172697,6.3621
11918,38.46130175,-28.23234018,4.9548
11925,38.4775734,-51.09349605,6.3545
12002,38.67745731,-7.85928859,5.8935
12022,38.76724802,7.47129563,6.3378
12057,38.86619953,39.66446196,6.3276
12072,38.91142603,37.31229059,5.869
12086,38.9449959,34.68768421,5.5064
